Sale_ID,Date,Product,Region,Units_Sold,Unit_Price,Discount,Revenue,Month,Year,DayOfWeek,Revenue_normalized,Revenue_outlier,
1,10-01-2025,Laptop,North,50,50000,5,,1,2025,4,0,0,
2,,Mobile,East,,20000,10,360000,,,,0.125874126,0,
4,,Tablet,West,40,28000,,1120000,,,,0.391608392,0,
5,10-05-2025,Laptop,south,60,50000,5,661500,5,2025,5,0.996503497,1,
6,01-06-2025,Mobile,EAST,35,21000,10,661500,6,2025,6,0.231293706,0,
7,,Laptop,NORTH,55,52000,0,661500,,,,1,1,
8,17-08-2025,,north,45,48000,5,,8,2025,6,0,0,
9,18-08-2025,Accessory,West,,1500,15,76500,8,2025,0,0.026748252,0,
10,25-09-2025,Accessory,WEST,30,1400,10,37800,9,2025,3,0.013216783,0,
11,05-10-2025,Mobile,WEST,25,,5,475000,10,2025,6,0.166083916,0,
12,,Tablet,east,40,29500,0,1180000,,,,0.412587413,0,
13,,Accessory,South,60,1600,10,86400,,,,0.03020979,0,
14,30-12-2025,Mobile,South,70,20500,,1295000,12,2025,1,0.452797203,0,
15,01-01-2026,Laptop,NORTH,80,53000,0,,1,2026,3,0,0,
